origin_code,destination_code,mig_count_2000,origin_name,destination_name
PAK,EGY,399,Pakistan,"Egypt, Arab Rep."
PAK,ETH,129,Pakistan,Ethiopia
PAK,FIN,390,Pakistan,Finland
PAK,HND,5,Pakistan,Honduras
PAK,IDN,672,Pakistan,Indonesia
PAK,ISR,5420,Pakistan,Israel
PAK,JPN,6029,Pakistan,Japan
PAK,LBR,8,Pakistan,Liberia
PAK,MDG,3007,Pakistan,Madagascar
PAK,NZL,1304,Pakistan,New Zealand
PAK,PAK,0,Pakistan,Pakistan
PAK,SCG,136,Pakistan,Serbia and Montenegro
PAK,ESP,8843,Pakistan,Spain
PAK,CHE,2405,Pakistan,Switzerland
PAK,SYR,6415,Pakistan,Syrian Arab Republic
PAK,THA,4622,Pakistan,Thailand
PAK,GBR,350867,Pakistan,United Kingdom
PAK,USA,234081,Pakistan,United States
ESP,DZA,1598,Spain,Algeria
ESP,ARG,137084,Spain,Argentina
ESP,BRA,43545,Spain,Brazil
ESP,CHN,104,Spain,China
ESP,CZE,171,Spain,Czech Republic
ESP,ECU,3030,Spain,Ecuador
ESP,EGY,968,Spain,"Egypt, Arab Rep."
ESP,ETH,15,Spain,Ethiopia
ESP,FIN,786,Spain,Finland
ESP,HND,383,Spain,Honduras
ESP,IDN,47,Spain,Indonesia
ESP,ISR,75,Spain,Israel
ESP,JPN,1523,Spain,Japan
ESP,LBR,131,Spain,Liberia
ESP,MDG,17,Spain,Madagascar
ESP,NZL,337,Spain,New Zealand
ESP,PAK,2,Spain,Pakistan
ESP,SCG,1671,Spain,Serbia and Montenegro
ESP,ESP,0,Spain,Spain
ESP,CHE,88369,Spain,Switzerland
ESP,SYR,15,Spain,Syrian Arab Republic
ESP,THA,1681,Spain,Thailand
ESP,GBR,60888,Spain,United Kingdom
ESP,USA,119977,Spain,United States
CHE,DZA,62,Switzerland,Algeria
CHE,ARG,1820,Switzerland,Argentina
CHE,BRA,2940,Switzerland,Brazil
CHE,CHN,30,Switzerland,China
CHE,CZE,388,Switzerland,Czech Republic
CHE,ECU,669,Switzerland,Ecuador
CHE,EGY,1836,Switzerland,"Egypt, Arab Rep."
CHE,ETH,24,Switzerland,Ethiopia
CHE,FIN,617,Switzerland,Finland
CHE,HND,45,Switzerland,Honduras
CHE,IDN,56,Switzerland,Indonesia
CHE,ISR,966,Switzerland,Israel
CHE,JPN,306,Switzerland,Japan
CHE,LBR,64,Switzerland,Liberia
CHE,MDG,211,Switzerland,Madagascar
CHE,NZL,2756,Switzerland,New Zealand
CHE,PAK,14,Switzerland,Pakistan
CHE,SCG,20021,Switzerland,Serbia and Montenegro
CHE,ESP,43159,Switzerland,Spain
CHE,CHE,0,Switzerland,Switzerland
CHE,SYR,74,Switzerland,Syrian Arab Republic
CHE,THA,1578,Switzerland,Thailand
CHE,GBR,5241,Switzerland,United Kingdom
CHE,USA,51605,Switzerland,United States
SYR,DZA,45,Syrian Arab Republic,Algeria
SYR,ARG,2577,Syrian Arab Republic,Argentina
SYR,BRA,3281,Syrian Arab Republic,Brazil
SYR,CHN,100,Syrian Arab Republic,China
SYR,CZE,441,Syrian Arab Republic,Czech Republic
SYR,ECU,58,Syrian Arab Republic,Ecuador
